"list_id","display_id","condition","target_object","modal","target_image","competitor_image","other1_image","other2_image","LT","RT","LB","RB","item_id","list_name","trial_in_list","variant","sentence","instruction","color_pair","marble_orientation","wheel_option","target_loc","competitor_loc"
2,1,"exp","wheel","usually","wheel_25-75_b-g.png","wheel_100-0_b.png","marble_25-75_b-g.png","marble_100-0_b.png","marble_25-75_b-g.png","wheel_25-75_b-g.png","marble_100-0_b.png","wheel_100-0_b.png","1_wheel","List2",1,"V3","The arrow usually lands on green.","The |arrow |usually lands on |green.","b-g","b->g","same","RT","RB"
2,1,"exp","marble","never","marble_100-0_b.png","marble_25-75_b-g.png","wheel_100-0_b.png","wheel_25-75_b-g.png","marble_25-75_b-g.png","wheel_25-75_b-g.png","marble_100-0_b.png","wheel_100-0_b.png","1_marble","List2",2,"V3","The marble never lands on green.","The |marble |never lands on |green.","b-g","b->g","same","LB","LT"
2,2,"exp","wheel","rarely","wheel_25-75_g-b.png","wheel_100-0_g.png","marble_25-75_b-g.png","marble_100-0_b.png","wheel_25-75_g-b.png","marble_25-75_b-g.png","wheel_100-0_g.png","marble_100-0_b.png","2_wheel","List2",3,"V3","The arrow rarely lands on green.","The |arrow |rarely lands on |green.","b-g","b->g","flipped","LT","LB"
2,2,"exp","marble","always","marble_100-0_b.png","marble_25-75_b-g.png","wheel_100-0_g.png","wheel_25-75_g-b.png","wheel_100-0_g.png","marble_100-0_b.png","wheel_25-75_g-b.png","marble_25-75_b-g.png","2_marble","List2",4,"V3","The marble always lands on blue.","The |marble |always lands on |blue.","b-g","b->g","flipped","RT","RB"
2,5,"exp","wheel","never","wheel_100-0_b.png","wheel_25-75_b-y.png","marble_100-0_b.png","marble_25-75_b-y.png","marble_100-0_b.png","wheel_100-0_b.png","marble_25-75_b-y.png","wheel_25-75_b-y.png","5_wheel","List2",5,"V3","The arrow never lands on yellow.","The |arrow |never lands on |yellow.","b-y","b->y","same","RT","RB"
2,5,"exp","marble","usually","marble_25-75_b-y.png","marble_100-0_b.png","wheel_25-75_b-y.png","wheel_100-0_b.png","marble_100-0_b.png","wheel_100-0_b.png","marble_25-75_b-y.png","wheel_25-75_b-y.png","5_marble","List2",6,"V3","The marble usually lands on yellow.","The |marble |usually lands on |yellow.","b-y","b->y","same","LB","LT"
2,7,"exp","wheel","always","wheel_100-0_y.png","wheel_25-75_y-b.png","marble_100-0_y.png","marble_25-75_y-b.png","wheel_100-0_y.png","marble_100-0_y.png","wheel_25-75_y-b.png","marble_25-75_y-b.png","7_wheel","List2",7,"V3","The arrow always lands on yellow.","The |arrow |always lands on |yellow.","b-y","y->b","same","LT","LB"
2,7,"exp","marble","rarely","marble_25-75_y-b.png","marble_100-0_y.png","wheel_25-75_y-b.png","wheel_100-0_y.png","wheel_25-75_y-b.png","marble_25-75_y-b.png","wheel_100-0_y.png","marble_100-0_y.png","7_marble","List2",8,"V3","The marble rarely lands on yellow.","The |marble |rarely lands on |yellow.","b-y","y->b","same","RT","RB"
2,8,"exp","wheel","usually","wheel_25-75_b-y.png","wheel_100-0_b.png","marble_25-75_y-b.png","marble_100-0_y.png","wheel_25-75_b-y.png","marble_25-75_y-b.png","wheel_100-0_b.png","marble_100-0_y.png","8_wheel","List2",9,"V3","The arrow usually lands on yellow.","The |arrow |usually lands on |yellow.","b-y","y->b","flipped","LT","LB"
2,8,"exp","marble","never","marble_100-0_y.png","marble_25-75_y-b.png","wheel_100-0_b.png","wheel_25-75_b-y.png","wheel_25-75_b-y.png","marble_25-75_y-b.png","wheel_100-0_b.png","marble_100-0_y.png","8_marble","List2",10,"V3","The marble never lands on blue.","The |marble |never lands on |blue.","b-y","y->b","flipped","RB","RT"
2,9,"exp","wheel","rarely","wheel_25-75_g-y.png","wheel_100-0_g.png","marble_25-75_g-y.png","marble_100-0_g.png","marble_100-0_g.png","wheel_100-0_g.png","marble_25-75_g-y.png","wheel_25-75_g-y.png","9_wheel","List2",11,"V3","The arrow rarely lands on green.","The |arrow |rarely lands on |green.","g-y","g->y","same","RB","RT"
2,9,"exp","marble","always","marble_100-0_g.png","marble_25-75_g-y.png","wheel_100-0_g.png","wheel_25-75_g-y.png","marble_25-75_g-y.png","wheel_25-75_g-y.png","marble_100-0_g.png","wheel_100-0_g.png","9_marble","List2",12,"V3","The marble always lands on green.","The |marble |always lands on |green.","g-y","g->y","same","LB","LT"
2,11,"exp","wheel","never","wheel_100-0_y.png","wheel_25-75_y-g.png","marble_100-0_y.png","marble_25-75_y-g.png","wheel_100-0_y.png","marble_100-0_y.png","wheel_25-75_y-g.png","marble_25-75_y-g.png","11_wheel","List2",13,"V3","The arrow never lands on green.","The |arrow |never lands on |green.","g-y","y->g","same","LT","LB"
2,11,"exp","marble","usually","marble_25-75_y-g.png","marble_100-0_y.png","wheel_25-75_y-g.png","wheel_100-0_y.png","wheel_100-0_y.png","marble_100-0_y.png","wheel_25-75_y-g.png","marble_25-75_y-g.png","11_marble","List2",14,"V3","The marble usually lands on green.","The |marble |usually lands on |green.","g-y","y->g","same","RB","RT"
2,12,"exp","wheel","always","wheel_100-0_g.png","wheel_25-75_g-y.png","marble_100-0_y.png","marble_25-75_y-g.png","marble_25-75_y-g.png","wheel_25-75_g-y.png","marble_100-0_y.png","wheel_100-0_g.png","12_wheel","List2",15,"V3","The arrow always lands on green.","The |arrow |always lands on |green.","g-y","y->g","flipped","RB","RT"
