"list_id","display_id","condition","target_object","modal","target_image","competitor_image","other1_image","other2_image","LT","RT","LB","RB","item_id","list_name","trial_in_list","variant","sentence","instruction","color_pair","marble_orientation","wheel_option","target_loc","competitor_loc"
3,1,"exp","wheel","rarely","wheel_25-75_b-g.png","wheel_100-0_b.png","marble_25-75_b-g.png","marble_100-0_b.png","wheel_100-0_b.png","marble_100-0_b.png","wheel_25-75_b-g.png","marble_25-75_b-g.png","1_wheel","List3",1,"V2","The arrow rarely lands on blue.","The |arrow |rarely lands on |blue.","b-g","b->g","same","LB","LT"
3,1,"exp","marble","always","marble_100-0_b.png","marble_25-75_b-g.png","wheel_100-0_b.png","wheel_25-75_b-g.png","marble_100-0_b.png","wheel_100-0_b.png","marble_25-75_b-g.png","wheel_25-75_b-g.png","1_marble","List3",2,"V2","The marble always lands on blue.","The |marble |always lands on |blue.","b-g","b->g","same","LT","LB"
3,2,"exp","wheel","never","wheel_100-0_g.png","wheel_25-75_g-b.png","marble_100-0_b.png","marble_25-75_b-g.png","wheel_25-75_g-b.png","marble_25-75_b-g.png","wheel_100-0_g.png","marble_100-0_b.png","2_wheel","List3",3,"V2","The arrow never lands on blue.","The |arrow |never lands on |blue.","b-g","b->g","flipped","LB","LT"
3,2,"exp","marble","usually","marble_25-75_b-g.png","marble_100-0_b.png","wheel_25-75_g-b.png","wheel_100-0_g.png","wheel_25-75_g-b.png","marble_25-75_b-g.png","wheel_100-0_g.png","marble_100-0_b.png","2_marble","List3",4,"V2","The marble usually lands on green.","The |marble |usually lands on |green.","b-g","b->g","flipped","RT","RB"
3,4,"exp","wheel","always","wheel_100-0_b.png","wheel_25-75_b-g.png","marble_100-0_g.png","marble_25-75_g-b.png","wheel_25-75_b-g.png","marble_25-75_g-b.png","wheel_100-0_b.png","marble_100-0_g.png","4_wheel","List3",5,"V2","The arrow always lands on blue.","The |arrow |always lands on |blue.","b-g","g->b","flipped","LB","LT"
3,4,"exp","marble","rarely","marble_25-75_g-b.png","marble_100-0_g.png","wheel_25-75_b-g.png","wheel_100-0_b.png","marble_25-75_g-b.png","wheel_25-75_b-g.png","marble_100-0_g.png","wheel_100-0_b.png","4_marble","List3",6,"V2","The marble rarely lands on green.","The |marble |rarely lands on |green.","b-g","g->b","flipped","LT","LB"
3,7,"exp","wheel","usually","wheel_25-75_y-b.png","wheel_100-0_y.png","marble_25-75_y-b.png","marble_100-0_y.png","marble_100-0_y.png","wheel_100-0_y.png","marble_25-75_y-b.png","wheel_25-75_y-b.png","7_wheel","List3",7,"V2","The arrow usually lands on blue.","The |arrow |usually lands on |blue.","b-y","y->b","same","RB","RT"
3,7,"exp","marble","never","marble_100-0_y.png","marble_25-75_y-b.png","wheel_100-0_y.png","wheel_25-75_y-b.png","wheel_100-0_y.png","marble_100-0_y.png","wheel_25-75_y-b.png","marble_25-75_y-b.png","7_marble","List3",8,"V2","The marble never lands on blue.","The |marble |never lands on |blue.","b-y","y->b","same","RT","RB"
3,8,"exp","wheel","rarely","wheel_25-75_b-y.png","wheel_100-0_b.png","marble_25-75_y-b.png","marble_100-0_y.png","marble_100-0_y.png","wheel_100-0_b.png","marble_25-75_y-b.png","wheel_25-75_b-y.png","8_wheel","List3",9,"V2","The arrow rarely lands on blue.","The |arrow |rarely lands on |blue.","b-y","y->b","flipped","RB","RT"
3,8,"exp","marble","always","marble_100-0_y.png","marble_25-75_y-b.png","wheel_100-0_b.png","wheel_25-75_b-y.png","wheel_100-0_b.png","marble_100-0_y.png","wheel_25-75_b-y.png","marble_25-75_y-b.png","8_marble","List3",10,"V2","The marble always lands on yellow.","The |marble |always lands on |yellow.","b-y","y->b","flipped","RT","RB"
3,9,"exp","wheel","never","wheel_100-0_g.png","wheel_25-75_g-y.png","marble_100-0_g.png","marble_25-75_g-y.png","marble_25-75_g-y.png","wheel_25-75_g-y.png","marble_100-0_g.png","wheel_100-0_g.png","9_wheel","List3",11,"V2","The arrow never lands on yellow.","The |arrow |never lands on |yellow.","g-y","g->y","same","RB","RT"
3,9,"exp","marble","usually","marble_25-75_g-y.png","marble_100-0_g.png","wheel_25-75_g-y.png","wheel_100-0_g.png","marble_25-75_g-y.png","wheel_25-75_g-y.png","marble_100-0_g.png","wheel_100-0_g.png","9_marble","List3",12,"V2","The marble usually lands on yellow.","The |marble |usually lands on |yellow.","g-y","g->y","same","LT","LB"
