"list_id","display_id","condition","target_object","modal","sentence","target_image","competitor_image","other1_image","other2_image","LT","RT","LB","RB","list_name","trial_in_list","variant","exp_groups","filler_group","color_pair","marble_orientation","wheel_option","instruction","target_loc","competitor_loc"
4,1,"exp","wheel","never","The arrow never lands on green.","wheel_100-0_b.png","wheel_25-75_b-g.png","marble_100-0_b.png","marble_25-75_b-g.png","wheel_25-75_b-g.png","marble_25-75_b-g.png","wheel_100-0_b.png","marble_100-0_b.png","List4",1,"V2","AC","B","b-g","b->g","same","The |arrow |never lands on |green.","LB","LT"
4,1,"exp","marble","usually","The marble usually lands on green.","marble_25-75_b-g.png","marble_100-0_b.png","wheel_25-75_b-g.png","wheel_100-0_b.png","wheel_25-75_b-g.png","marble_25-75_b-g.png","wheel_100-0_b.png","marble_100-0_b.png","List4",2,"V2","AC","B","b-g","b->g","same","The |marble |usually lands on |green.","RT","RB"
4,2,"exp","wheel","always","The arrow always lands on green.","wheel_100-0_g.png","wheel_25-75_g-b.png","marble_100-0_b.png","marble_25-75_b-g.png","marble_25-75_b-g.png","wheel_25-75_g-b.png","marble_100-0_b.png","wheel_100-0_g.png","List4",3,"V2","AC","B","b-g","b->g","flipped","The |arrow |always lands on |green.","RB","RT"
4,2,"exp","marble","rarely","The marble rarely lands on blue.","marble_25-75_b-g.png","marble_100-0_b.png","wheel_25-75_g-b.png","wheel_100-0_g.png","marble_25-75_b-g.png","wheel_25-75_g-b.png","marble_100-0_b.png","wheel_100-0_g.png","List4",4,"V2","AC","B","b-g","b->g","flipped","The |marble |rarely lands on |blue.","LT","LB"
4,3,"exp","wheel","usually","The arrow usually lands on blue.","wheel_25-75_g-b.png","wheel_100-0_g.png","marble_25-75_g-b.png","marble_100-0_g.png","wheel_100-0_g.png","marble_100-0_g.png","wheel_25-75_g-b.png","marble_25-75_g-b.png","List4",5,"V2","AC","B","b-g","g->b","same","The |arrow |usually lands on |blue.","LB","LT"
4,3,"exp","marble","never","The marble never lands on blue.","marble_100-0_g.png","marble_25-75_g-b.png","wheel_100-0_g.png","wheel_25-75_g-b.png","wheel_100-0_g.png","marble_100-0_g.png","wheel_25-75_g-b.png","marble_25-75_g-b.png","List4",6,"V2","AC","B","b-g","g->b","same","The |marble |never lands on |blue.","RT","RB"
4,4,"exp","wheel","rarely","The arrow rarely lands on blue.","wheel_25-75_b-g.png","wheel_100-0_b.png","marble_25-75_g-b.png","marble_100-0_g.png","marble_100-0_g.png","wheel_100-0_b.png","marble_25-75_g-b.png","wheel_25-75_b-g.png","List4",7,"V2","AC","B","b-g","g->b","flipped","The |arrow |rarely lands on |blue.","RB","RT"
4,4,"exp","marble","always","The marble always lands on green.","marble_100-0_g.png","marble_25-75_g-b.png","wheel_100-0_b.png","wheel_25-75_b-g.png","marble_100-0_g.png","wheel_100-0_b.png","marble_25-75_g-b.png","wheel_25-75_b-g.png","List4",8,"V2","AC","B","b-g","g->b","flipped","The |marble |always lands on |green.","LT","LB"
4,9,"exp","wheel","never","The arrow never lands on yellow.","wheel_100-0_g.png","wheel_25-75_g-y.png","marble_100-0_g.png","marble_25-75_g-y.png","wheel_100-0_g.png","marble_100-0_g.png","wheel_25-75_g-y.png","marble_25-75_g-y.png","List4",9,"V2","AC","B","g-y","g->y","same","The |arrow |never lands on |yellow.","LT","LB"
4,9,"exp","marble","usually","The marble usually lands on yellow.","marble_25-75_g-y.png","marble_100-0_g.png","wheel_25-75_g-y.png","wheel_100-0_g.png","wheel_100-0_g.png","marble_100-0_g.png","wheel_25-75_g-y.png","marble_25-75_g-y.png","List4",10,"V2","AC","B","g-y","g->y","same","The |marble |usually lands on |yellow.","RB","RT"
4,10,"exp","wheel","always","The arrow always lands on yellow.","wheel_100-0_y.png","wheel_25-75_y-g.png","marble_100-0_g.png","marble_25-75_g-y.png","wheel_25-75_y-g.png","marble_25-75_g-y.png","wheel_100-0_y.png","marble_100-0_g.png","List4",11,"V2","AC","B","g-y","g->y","flipped","The |arrow |always lands on |yellow.","LB","LT"
4,10,"exp","marble","rarely","The marble rarely lands on green.","marble_25-75_g-y.png","marble_100-0_g.png","wheel_25-75_y-g.png","wheel_100-0_y.png","wheel_25-75_y-g.png","marble_25-75_g-y.png","wheel_100-0_y.png","marble_100-0_g.png","List4",12,"V2","AC","B","g-y","g->y","flipped","The |marble |rarely lands on |green.","RT","RB"
4,11,"exp","wheel","usually","The arrow usually lands on green.","wheel_25-75_y-g.png","wheel_100-0_y.png","marble_25-75_y-g.png","marble_100-0_y.png","wheel_100-0_y.png","marble_100-0_y.png","wheel_25-75_y-g.png","marble_25-75_y-g.png","List4",13,"V2","AC","B","g-y","y->g","same","The |arrow |usually lands on |green.","LB","LT"
4,11,"exp","marble","never","The marble never lands on green.","marble_100-0_y.png","marble_25-75_y-g.png","wheel_100-0_y.png","wheel_25-75_y-g.png","marble_100-0_y.png","wheel_100-0_y.png","marble_25-75_y-g.png","wheel_25-75_y-g.png","List4",14,"V2","AC","B","g-y","y->g","same","The |marble |never lands on |green.","LT","LB"
4,12,"exp","wheel","rarely","The arrow rarely lands on green.","wheel_25-75_g-y.png","wheel_100-0_g.png","marble_25-75_y-g.png","marble_100-0_y.png","marble_100-0_y.png","wheel_100-0_g.png","marble_25-75_y-g.png","wheel_25-75_g-y.png","List4",15,"V2","AC","B","g-y","y->g","flipped","The |arrow |rarely lands on |green.","RB","RT"
4,12,"exp","marble","always","The marble always lands on yellow.","marble_100-0_y.png","marble_25-75_y-g.png","wheel_100-0_g.png","wheel_25-75_g-y.png","wheel_100-0_g.png","marble_100-0_y.png","wheel_25-75_g-y.png","marble_25-75_y-g.png","List4",16,"V2","AC","B","g-y","y->g","flipped","The |marble |always lands on |yellow.","RT","RB"
4,5,"filler","wheel","0","The arrow has a 0 percent chance of landing on yellow.","wheel_100-0_b.png","wheel_25-75_b-y.png","marble_100-0_b.png","marble_25-75_b-y.png","wheel_100-0_b.png","marble_100-0_b.png","wheel_25-75_b-y.png","marble_25-75_b-y.png","List4",17,"V2","AC","B","b-y","b->y","same","The |arrow |has a 0 percent chance of landing on |yellow.","LT","LB"
4,5,"filler","marble","0","The marble has a 0 percent chance of landing on yellow.","marble_100-0_b.png","marble_25-75_b-y.png","wheel_100-0_b.png","wheel_25-75_b-y.png","marble_25-75_b-y.png","wheel_25-75_b-y.png","marble_100-0_b.png","wheel_100-0_b.png","List4",18,"V2","AC","B","b-y","b->y","same","The |marble |has a 0 percent chance of landing on |yellow.","LB","LT"
4,6,"filler","wheel","25","The arrow has a 25 percent chance of landing on yellow.","wheel_25-75_y-b.png","wheel_100-0_y.png","marble_25-75_b-y.png","marble_100-0_b.png","marble_100-0_b.png","wheel_100-0_y.png","marble_25-75_b-y.png","wheel_25-75_y-b.png","List4",19,"V2","AC","B","b-y","b->y","flipped","The |arrow |has a 25 percent chance of landing on |yellow.","RB","RT"
4,6,"filler","marble","25","The marble has a 25 percent chance of landing on blue.","marble_25-75_b-y.png","marble_100-0_b.png","wheel_25-75_y-b.png","wheel_100-0_y.png","wheel_25-75_y-b.png","marble_25-75_b-y.png","wheel_100-0_y.png","marble_100-0_b.png","List4",20,"V2","AC","B","b-y","b->y","flipped","The |marble |has a 25 percent chance of landing on |blue.","RT","RB"
4,7,"filler","wheel","75","The arrow has a 75 percent chance of landing on blue.","wheel_25-75_y-b.png","wheel_100-0_y.png","marble_25-75_y-b.png","marble_100-0_y.png","wheel_25-75_y-b.png","marble_25-75_y-b.png","wheel_100-0_y.png","marble_100-0_y.png","List4",21,"V2","AC","B","b-y","y->b","same","The |arrow |has a 75 percent chance of landing on |blue.","LT","LB"
4,7,"filler","marble","75","The marble has a 75 percent chance of landing on blue.","marble_25-75_y-b.png","marble_100-0_y.png","wheel_25-75_y-b.png","wheel_100-0_y.png","marble_100-0_y.png","wheel_100-0_y.png","marble_25-75_y-b.png","wheel_25-75_y-b.png","List4",22,"V2","AC","B","b-y","y->b","same","The |marble |has a 75 percent chance of landing on |blue.","LB","LT"
